,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
hand over,1,"渡す
わたす",watasu,,,,,,,,

"hang, sit, telephone, risk",2,かける,kakeru,,,,,,,,

"have, exist",1,"有る
ある",aru,,,,,,,,

"have, hold, own",1,"持つ
もつ",motsu,,,,,,,,

help,2,"助ける
たすける",tasukeru,,,,,,,,

help,1,"手伝う
てつだう",tetsudau,,,,,,,,

hide (oneself),1,"隠れる
かくれる",kakureru,,,,,,,,

hide (something),1,"隠す
かくす",kakusu,,,,,,,,

"hinder, obstruct",2,"妨げる
さまたげる",samatageru,,,,,,,,

hint,1,"仄めかす
ほのめかす",honomekasu,,,,,,,,

"hire, employ",1,,yatou,,,,,,,,

"hit against, throw at",2,ぶつける,butsukeru,,,,,,,,

"hit, collide with, clash",1,ぶつかる,butsukaru,,,,,,,,

"hit, shoot",1,,utsu,,,,,,,,

"hold (in your arms), have",2,"抱える
かかえる",kakaeru,,,,,,,,

humble oneself,1,,herikudaru,,,,,,,,

hurry,1,"急ぐ
いそぐ",isogu,,,,,,,,

increase,2,"増える
ふえる",fueru,,,,,,,,

"indicate, point out",1,"示す
しめす",shimesu,,,,,,,,

"inflict pain, torment",2,"苦しませる
くるしませる",kurushimeru,,,,,,,,

"inhale, sip, smoke",1,"吸う
すう",suu,,,,,,,,

"invite, beckon to",1,"招く
まねく",maneku,,,,,,,,

"invite, tempt",1,"誘う
さそう",sasou,,,,,,,,

jeer at,1,,yajiru,,,,,,,,

"jump, fly",1,"飛ぶ
とぶ",tobu,,,,,,,,

"Keep (a pet), raise, rear",1,"飼う
かう",kau,,,,,,,,

kick,1,"蹴る
ける",keru,,,,,,,,

kill,1,"殺す
ころす",korosu,,,,,,,,

know,1,"知る
しる",shiru,,,,,,,,

laugh,1,"笑う
わらう",warau,,,,,,,,

lay face down,2,"伏せる
ふせる",fuseru,,,,,,,,

lead,2,"連れる
つれる",tsureru,,,,,,,,

"leak, disclose",1,"漏らす
もらす",morasu,,,,,,,,

"leak, escape",2,"漏れる
もれる",moreru,,,,,,,,

"lean towards, tilt",1,"傾く
かたむく",katamuku,,,,,,,,

learn,1,習う,narau,,,,,,,,

"learn, study",1,"学ぶ
まなぶ",manabu,,,,,,,,

"leave behind, save",1,"残す
のこす",nokosu,,,,,,,,

"left over, remain",1,"残る
のこる",nokoru,,,,,,,,

lend,1,"貸す
かす",kasu,,,,,,,,

lick,2,"舐める
なめる",nameru,,,,,,,,

lie down,1,"臥せる
ふせる",fuseru,,,,,,,,

lie sprawled,1,,soberu,,,,,,,,

like,1,"好む
このむ",konomu,,,,,,,,

limit,1,"限る
かぎる",kagiru,,,,,,,,

"line up, list, arrange in order",2,"並べる
ならべる",naraberu,,,,,,,,

listen,1,"聞く
きく",kiku,聞かない,kikanai,聞きます,kikimasu,聞きません,kikimasen,聞ける,kikeru

live,1,"暮らす
くらす",kurasu,,,,,,,,

"live, reside",1,"住む
すむ",sumu,,,,,,,,

look,2,"見る
みる",miru,見ない,minai,見ます,mimasu,見ません,mimasen,見られる,mirareru

"look upon, consider",1,"見做す
みなす",minasu,,,,,,,,

"lose weight, get thin",2,,yaseru,,,,,,,,

"lose, drop",1,"落とす
おとす",otosu,,,,,,,,

"lose, part with",1,失う,ushinau,,,,,,,,

"lose, remove",1,"無くす
なくす",nakusu,,,,,,,,

"love, be affectionate, tender",1,"可愛がる
かわいがる",kawaigaru,,,,,,,,

"lower, hang",2,"下げる
さげる",sageru,,,,,,,,

make a mistake,2,"間違える
まちがえる",machigaeru,,,,,,,,

"make a noise, be rowdy",1,"騒ぐ
さわぐ",sawagu,,,,,,,,

"make fun of, play jokes on",1,からかう,karakau,,,,,,,,

make manufacture,2,"拵える
こしらえる",koshiraeru,,,,,,,,

